"Re: [閒聊] 刮刮樂機率分析彙整,8,Sat Jan  4 12:01:30 2025"
"[公告] 樂透版版規 2016.08.21,4,Sun Aug 21 23:14:10 2016"
"[情報] 樂透小常識 (編修:2019/05/01),32,"
"[報牌] 虎斑法鬥 39 二合,1,Thu Jan 23 06:28:59 2025"
"[報牌] 蛇燦年發法鬥幸運39二三合,2,Wed Jan 22 15:22:17 2025"
"[報牌] 蛇燦年發539,11,Wed Jan 22 10:32:44 2025"
"Re: [討論] 賓果一星押很大有沒有搞頭,3,Tue Jan 21 22:03:52 2025"
"[報牌] 539老朋友、34星,3,Tue Jan 21 19:43:44 2025"
"[報牌] 蛇燦年發539,11,Tue Jan 21 17:45:18 2025"
"[報牌] 虎斑法鬥 39 二合,1,Tue Jan 21 12:23:40 2025"
"[閒聊] 刮刮樂買整本好還是分散買？,9,Tue Jan 21 10:35:47 2025"
"Re: [討論]歷年2000元刮刮樂發行量,1,Mon Jan 20 20:46:13 2025"
"[報牌] 虎斑法鬥 39 二合,0,Mon Jan 20 16:47:03 2025"
"[報牌] 蛇燦年發539,16,Mon Jan 20 16:29:41 2025"
"[報牌] 過年539,1,Mon Jan 20 11:42:39 2025"
"[討論] 賓果一星押很大有沒有搞頭,9,Mon Jan 20 02:45:42 2025"
",2,"
"[真相] 539,4,Sun Jan 19 01:03:06 2025"
"[報牌] 蛇燦年發539,11,Sat Jan 18 15:53:17 2025"
"[真相] 2000整本 惡魔之本,27,Sat Jan 18 07:46:12 2025"
"[報牌] 老朋友539、34星,2,Fri Jan 17 19:12:02 2025"
"[報牌] 蛇燦年發539,9,Fri Jan 17 16:01:00 2025"
"Re: [討論] 2025發財預算,2,Fri Jan 17 13:51:50 2025"
"[真相] 鈔票一把抓,8,Fri Jan 17 12:26:06 2025"
"Re: [閒聊] 刮刮樂機率分析彙整,4,Thu Jan 16 22:36:11 2025"
"[報牌] 蛇燦年發539,11,Thu Jan 16 18:40:54 2025"
"[報牌] 蛇燦法鬥539 二三合,2,Thu Jan 16 15:05:12 2025"
"[報牌] 虎斑法鬥 39 二合,0,Thu Jan 16 11:29:48 2025"
"[報牌] 法鬥蛇燦年發539 二三合,2,Wed Jan 15 15:30:46 2025"
"[報牌] 蛇燦年發539,12,Wed Jan 15 10:37:56 2025"
"[報牌] 虎斑法鬥 39 二合,1,Wed Jan 15 10:04:24 2025"
"[真相] 1000刮刮樂,7,Wed Jan 15 08:29:32 2025"
"[閒聊] 會看刮刮樂代碼反而不好玩？,14,Wed Jan 15 00:07:43 2025"
"[討論] 2025發財預算,4,Tue Jan 14 20:51:43 2025"
"[報牌] 34星,1,Tue Jan 14 19:19:02 2025"
"Re: [新聞] 大樂透春節加碼 加開480組百萬及...,3,Tue Jan 14 18:36:18 2025"
"[報牌] 蛇燦年發539,11,Tue Jan 14 09:44:30 2025"
"[報牌] 蛇燦年發法鬥539 二三合,0,Tue Jan 14 01:52:56 2025"
"[真相] 老朋友中獎二和40倍,24,Mon Jan 13 21:12:34 2025"
"[報牌] 虎斑法鬥 39 二合,4,Mon Jan 13 16:54:45 2025"
"[報牌] 蛇燦年發539,13,Mon Jan 13 13:11:11 2025"
"[報牌] 蛇燦年發539,14,Sat Jan 11 17:16:49 2025"
"[真相] 金蛇獎中1500+600,14,Sat Jan 11 10:08:17 2025"
"[報牌] 哭北539 Gemini,2,Sat Jan 11 09:45:24 2025"
"[報牌] 蛇燦年發539,13,Fri Jan 10 12:24:00 2025"
"[報牌] 虎斑法鬥 39 二合,0,Fri Jan 10 06:34:21 2025"
"[報牌] 蛇燦年發539,13,Thu Jan  9 16:39:19 2025"
"[新聞] 大樂透春節加碼 加開480組百萬及...,27,Thu Jan  9 11:41:01 2025"
"[報牌] 虎斑法鬥 四星彩,1,Thu Jan  9 10:03:15 2025"
